range_m,azimuth_deg,peak,count,ping,t_s
60.04,29.999999999999996,1996.175059998916,1,0,0.0
60.03144181872616,-119.99279270202886,999.3743194784252,2,0,0.0
33.44,58.00000000000001,10.230110629186179,1,0,0.0
97.58399999999999,110.0,9.642167238826065,1,0,0.0
48.3208,9.999999999999998,9.56542015285426,1,0,0.0
60.267999999999994,29.999999999999996,1999.495593309733,1,1,1.0
60.26739780184833,-119.99559617794975,998.9815858530824,2,1,1.0
37.8024,-88.0,11.981738686263398,1,1,1.0
12.844,-102.0,8.976323172081186,1,1,1.0
60.511199999999995,29.999999999999996,1989.1497518700833,1,2,2.0
60.50198094710001,-119.98782172341936,1001.5768255111111,2,2,2.0
50.9504,158.0,12.279544057898198,1,2,2.0
34.2456,92.0,11.90996774967474,1,2,2.0
15.8536,-104.0,10.563086292729329,1,2,2.0
60.739200000000004,27.999999999999996,1999.403252445824,1,3,3.0
60.739382518068176,-120.00133473856135,1001.8360402728426,2,3,3.0
80.54480000000001,-39.99999999999999,14.667628453701115,1,3,3.0
68.248,-24.0,12.521602914552552,1,3,3.0
16.0968,8.0,12.081906258525944,1,3,3.0
60.982400000000005,28.0,1994.029623400865,1,4,4.0
60.973826410184735,-119.99267680125807,1002.9206939299995,2,4,4.0
9.044,-108.0,10.475467381175983,1,4,4.0
92.0208,-92.0,9.990300790689403,1,4,4.0
69.93520000000001,-152.0,9.161543042414024,1,4,4.0
61.2104,28.0,1984.9174386809927,1,5,5.0
61.21822834571769,-120.00171758275907,996.6994393785822,2,5,5.0
80.104,146.0,10.5450797131595,1,5,5.0
63.1104,-146.0,10.378763690258264,1,5,5.0
13.451999999999998,82.0,9.525021024867343,1,5,5.0
61.4536,28.0,1992.1057139289285,1,6,6.0
61.45438764317244,-120.00575996514776,999.6883699024457,2,6,6.0
80.0736,-54.00000000000001,11.607126424249458,1,6,6.0
72.2152,86.0,10.274994152743565,1,6,6.0
3.6176000000000004,124.0,10.238912946141498,1,6,6.0
61.6968,28.0,1992.172007117868,1,7,7.0
61.68883027575397,-119.99721898883543,997.5209774592643,2,7,7.0
39.4288,146.0,12.275270080512033,1,7,7.0
86.9136,130.0,11.983618935759232,1,7,7.0
28.119999999999997,-52.0,8.996079159026317,1,7,7.0
61.9248,28.000000000000004,1988.88781956342,1,8,8.0
61.933111686001524,-119.00803387691799,998.4242930680214,2,8,8.0
46.3904,114.00000000000001,11.821415269565152,1,8,8.0
80.2408,12.000000000000002,11.228089480244387,1,8,8.0
18.726399999999998,-148.0,6.7437885381750355,1,8,8.0
62.168,28.0,1996.7873479577102,1,9,9.0
62.16931761526518,-119.01446075290335,999.4033902132603,2,9,9.0
39.5656,-140.0,9.701530032902319,1,9,9.0
27.192799999999995,-118.00000000000001,9.47915213927507,1,9,9.0
59.295199999999994,-26.0,8.769277435420086,1,9,9.0
62.4112,28.0,1999.5877496976377,1,10,10.0
62.412379981994015,-119.01295023560243,999.8984700896531,2,10,10.0
61.16480000000001,142.0,12.658328116128928,1,10,10.0
5.5632,-102.0,12.65188115627916,1,10,10.0
50.068799999999996,54.0,11.217369088784752,1,10,10.0
62.6544,28.0,1999.9452597997915,1,11,11.0
62.65369042523043,-117.99481094220315,998.1198584760708,2,11,11.0
2.2496,-46.00000000000001,11.124285961383805,1,11,11.0
36.176,54.0,9.52216080393726,1,11,11.0
57.988000000000014,132.0,9.509497176288493,1,11,11.0
62.8976,27.999999999999996,1998.265516949199,1,12,12.0
62.88822049716413,-117.98661484276187,1003.3742826835255,2,12,12.0
38.455999999999996,4.000000000000001,10.999249658813051,1,12,12.0
25.763999999999996,-7.999999999999998,10.283505603129242,1,12,12.0
47.910399999999996,68.0,10.205119765260566,1,12,12.0
63.1408,28.000000000000004,2000.8043547480568,1,13,13.0
63.133595406355376,-118.0029741881971,999.1061720282837,2,13,13.0
30.995828581662686,-50.232098014795646,10.235735670789875,2,13,13.0
8.6944,-16.0,10.160723372327453,1,13,13.0
95.5472,-140.0,9.88285383127798,1,13,13.0
63.384,26.0,1997.378238691189,1,14,14.0
63.37555134691256,-117.99361655685698,1003.4570152643988,2,14,14.0
74.0848,-78.0,11.87011353918615,1,14,14.0
72.9752,18.0,11.331420852683381,1,14,14.0
