ping,t_s,track_id,confirmed,hits,misses,x_m,y_m,vx_mps,vy_mps
0,0.0,1,False,1,0,51.996165243217696,30.019999999999996,0.0,0.0
0,0.0,2,False,1,0,-30.0091809504487,-51.992528939438316,0.0,0.0
0,0.0,3,False,1,0,17.72050019595837,28.358728335470886,0.0,0.0
0,0.0,4,False,1,0,-33.37569366629205,91.69896470677207,0.0,0.0
0,0.0,5,False,1,0,47.5866984717523,8.390818863408205,0.0,0.0
1,1.0,1,False,2,0,52.11842651647342,30.090587579025655,0.047142184642748615,0.02721755299367728
1,1.0,2,False,2,0,-30.08379712214518,-52.118152870471675,-0.028770920257741334,-0.048438777011060315
1,1.0,3,False,1,1,17.72050019595837,28.358728335470886,0.0,0.0
1,1.0,4,False,1,1,-33.37569366629205,91.69896470677207,0.0,0.0
1,1.0,5,False,1,1,47.5866984717523,8.390818863408205,0.0,0.0
1,1.0,6,False,1,0,1.3192847341466267,-37.779371799306666,0.0,0.0
1,1.0,7,False,1,0,-2.670417756863301,-12.563327783824999,0.0,0.0
2,2.0,1,False,3,0,52.31161782011209,30.202126630186534,0.11382057822161654,0.06571434147556887
2,2.0,2,False,3,0,-30.19045810577721,-52.31106308491393,-0.06433145179164836,-0.11439688365469824
2,2.0,3,False,2,0,2.9992221720434014,32.92400346583848,-5.275739035838196,1.6360807924077536
2,2.0,4,False,1,2,-33.37569366629205,91.69896470677207,0.0,0.0
2,2.0,5,False,1,2,47.5866984717523,8.390818863408205,0.0,0.0
2,2.0,6,False,1,1,1.3192847341466267,-37.779371799306666,0.0,0.0
2,2.0,7,False,2,0,-3.3917207765784223,-14.30904068187996,-0.27812404724150624,-0.6731217300608321
2,2.0,8,False,1,0,-47.240388263719645,19.086355777178095,0.0,0.0
3,3.0,1,False,4,0,53.13879799142103,29.22957104365362,0.3902634493687961,-0.33663858502289956
3,3.0,2,False,4,0,-30.32358859203256,-52.52954137300071,-0.0909926235255105,-0.15473076652814705
3,3.0,3,False,2,1,-2.276516863794795,34.560084258246235,-5.275739035838196,1.6360807924077536
3,3.0,4,False,1,3,-33.37569366629205,91.69896470677207,0.0,0.0
3,3.0,5,False,2,0,20.07199310999046,3.043274995846007,-7.81984147105066,-1.5198034924967796
3,3.0,6,False,1,2,1.3192847341466267,-37.779371799306666,0.0,0.0
3,3.0,7,False,2,1,-3.6698448238199286,-14.982162411940791,-0.27812404724150624,-0.6731217300608321
3,3.0,8,False,1,1,-47.240388263719645,19.086355777178095,0.0,0.0
3,3.0,9,False,1,0,61.70089646212948,-51.773199464680374,0.0,0.0
3,3.0,10,False,1,0,62.347650393192225,-27.758962416637214,0.0,0.0
4,4.0,1,True,5,0,53.70158414371445,28.748746672372093,0.44563863272495624,-0.3829183743843731
4,4.0,2,True,5,0,-30.450477189444992,-52.75241969602411,-0.10251427315213707,-0.1766043134424215
4,4.0,3,False,2,2,-7.552255899632991,36.19616505065399,-5.275739035838196,1.6360807924077536
4,4.0,4,False,1,4,-33.37569366629205,91.69896470677207,0.0,0.0
4,4.0,5,False,2,1,12.252151638939798,1.5234715033492272,-7.81984147105066,-1.5198034924967796
4,4.0,6,False,1,3,1.3192847341466267,-37.779371799306666,0.0,0.0
4,4.0,7,False,3,0,-3.050972775066429,-10.168602230029414,0.030625982522701156,1.2154184890011572
